animals_name,species,primary_breed,secondary_breed,zip_code
Harley Davidson,Cat,Domestic Shorthair,Mix,98102
Periclaws,Cat,Domestic Longhair,Russian Blue,98125
Theodore Shadow Box,Dog,Terrier,Mix,98122
Linus Pawling,Dog,Miniature Pinscher,"Dachshund, Miniature Smooth Haired",98115
Werner Karl Heisenfluff,Cat,Russian Blue,NA,98122
WERLWIND'S PSALMS (CALL NAME: BALOO),Dog,Bernese Mountain Dog,NA,98103
Prof. Kepler McSmartyPants Locke,Dog,"Australian Shepherd, Miniature",NA,98115
Boobafina,Dog,"Retriever, Labrador",NA,98119
Paddington Bear,Dog,Pomeranian,NA,98102
"Jimmy Chew ""Chewie""",Dog,"Bulldog, American",NA,98119
Mr. Miyagi,Dog,"Retriever, Labrador","Pointer, German Shorthaired",NA
Thundercleese,Cat,Domestic Shorthair,NA,98116
Sirius Lee Welzen,Dog,"Poodle, Standard",Alaskan Malamute,98116
Frida Pawlo,Cat,Domestic Shorthair,Mix,98103
Westley Williams,Dog,"Retriever, Golden",NA,98115
Bubble Puppy,Dog,"Chihuahua, Short Coat",Mix,NA
Kelsey Black-Vinograd,Dog,"Terrier, Yorkshire",NA,98136
BABY BLANCHE,Cat,Domestic Longhair,NA,98107
Dan Dan Mian,Dog,"Terrier, Miniature Bull","Terrier, Miniature Bull",98125
Loki Thompson,Dog,White Swiss Shepherd (Berger Blanc Suisse),NA,98118
Georgia O’Teeffe,Cat,Domestic Shorthair,Mix,98103
Fergus Reynolds,Dog,"Retriever, Golden",NA,98177
Puff'n'Stuff,Cat,Maine Coon,Persian,98107
Lieutenant Dan,Dog,"Retriever, Golden","Spaniel, English Cocker",98199
Doc/Frack,Dog,"Retriever, Labrador","Retriever, Golden",98126
Girl Dave,Cat,Domestic Shorthair,Mix,98115
Unagi`,Dog,Doberman Pinscher,Miniature Pinscher,98107
Pumpkin Ninja,Cat,Domestic Shorthair,NA,98103
Scotty Puppen,Dog,Terrier,Maltese,98117
Koa Kommander Lantin,Dog,Shiba Inu,NA,98115
Princess Pooper,Dog,"Chihuahua, Long Coat",Mix,NA
Uncle Wiggily,Dog,"Dachshund, Miniature Smooth Haired",NA,98117
Odin Hawthorne Bell,Dog,"Schnauzer, Miniature",NA,98103
Petunia Adventure Kitty,Cat,Devon Rex,NA,98105
Peach Boy,Cat,Domestic Shorthair,NA,98106
Leviathan,Dog,"Bulldog, French","Spaniel, Cavalier King Charles",98121
S.A.N.T.O.S.,Dog,Australian Shepherd,Australian Shepherd,98109
Starboard,Dog,"Retriever, Labrador",Chow Chow,98103
Spike the Wonder Dog,Dog,"Pointer, German Shorthaired",Greyhound,98112
Minx E Pinklefish,Cat,Domestic Shorthair,NA,98117
Spooky Leonardo Rodgers,Dog,Terrier,"Chihuahua, Long Coat",98102
Mr. Ginger Snapps,Cat,American Shorthair,Mix,98115
Mary Dee Bear,Dog,Alaskan Husky,Mix,98116
Princess Hildegarde,Dog,"Dachshund, Miniature Smooth Haired",Mix,98116
ANGUS DeJong,Dog,"Welsh Corgi, Pembroke",NA,98119
Princess Lollipop,Cat,Domestic Medium Hair,NA,98118
Valkyrie Thunderpaws,Dog,Olde English Bulldogge,NA,98106
Professor Pugsly,Dog,Pug,NA,98199
Detective Leonard J Briscoe,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98136
Cascade Mountain's Out of a Dream (BRIA),Dog,"Retriever, Golden",NA,98102
Yolo Yowali Barrans,Dog,Xoloitzcuintli,NA,98103
Sir Digby Chicken Caesar,Cat,Domestic Medium Hair,Mix,98103
"Not-Steve (""Steve"")",Cat,Domestic Shorthair,Mix,98107
Snocone Bear,Dog,Samoyed,NA,98107
Speed King,Dog,Greyhound,NA,98106
Catherine Purrface,Cat,Domestic Shorthair,Mix,98122
Chairman Meow,Cat,Domestic Medium Hair,NA,98112
Sherlock Muffleton,Cat,Domestic Shorthair,Mix,98136
Mr. Frederick Oatmeal Popper,Dog,"Terrier, Jack Russell",Terrier,98115
Honey McWaffles,Cat,Domestic Shorthair,Mix,98107
Cookie Sherbert Jahn,Dog,Australian Cattle Dog,Pointer,98011
Lady Natasha Of Kafaisden Manor,Dog,"Retriever, Labrador",NA,98136
Lady Long Legs,Dog,Terrier,Mix,98119
Odin Thunderpaws,Dog,Olde English Bulldogge,NA,98106
Bahama Mama,Dog,Australian Shepherd,Mix,98126
Jimmy Two Times,Dog,Border Collie,Australian Cattle Dog,98199
Woodhouse,Dog,"Retriever, Golden",NA,98122
Sir Pounce,Cat,Domestic Longhair,NA,98107
Vixen Sabrina,Dog,"Retriever, Labrador",NA,98125
Lord Montague Of Kafaisden Manor,Dog,"Retriever, Labrador",NA,98136
Lady G Lolo Paloma MacGuffie Hunter,Cat,Domestic Medium Hair,NA,98117
Anastasia Kalashnakitty,Cat,Russian Blue,NA,98107
Ginger Snickerdoodle,Dog,"Retriever, Golden",Mix,98136
Onomatopoeia,Dog,"Retriever, Golden",NA,98103
Her Ladyship Princess Penelope Peachfuzz Howe,Cat,Domestic Shorthair,Mix,98107
Slasher2?,Cat,Domestic Shorthair,Mix,98106
BattleCat,Cat,American Shorthair,NA,98133
Dog 2,Dog,"Retriever, Golden",Mix,98177
Callie of Capitol Hill,Dog,Mix,NA,98112
Sabrino,Cat,Domestic Shorthair,Mix,98106
Shiver Miss Timbers,Dog,"Chihuahua, Short Coat",Mix,98107
Fiachra McFluffins,Cat,Domestic Shorthair,NA,98108
Pearl WarLock,Dog,Great Pyrenees,NA,98115
Princess Coco Smiley,Dog,Maltese,NA,98144
Virginia Woof,Dog,"Terrier, Boston",NA,98144
Little dog,Dog,"Terrier, Parson Russell",NA,98116
Kit N Kaboodle,Cat,Domestic Medium Hair,NA,98116
Princess Snugglemuffin,Cat,Domestic Shorthair,Mix,98115
Muffin Bradleigh,Cat,Siamese,Mix,98104
Mr Snuffalufagus,Dog,"Dachshund, Miniature Smooth Haired",Spaniel,98116
Chester Cheetah,Cat,Domestic Shorthair,Mix,98118
Norm Chermsky,Cat,Abyssinian,NA,98122
Neighbor Cat,Cat,Domestic Shorthair,NA,98116
Steel Panther,Cat,Russian Blue,NA,98112
DooDadDiddleyBopThing,Cat,Domestic Shorthair,Mix,98133
Queen Bee,Dog,"Retriever, Labrador",NA,98115
Rosie McPosie O'Donnell Schneider,Dog,"Pointer, German Shorthaired",NA,98115
Tobi Schwartzenberger,Dog,Australian Cattle Dog,"Retriever, Labrador",98117
Chad Michael Purray,Cat,Exotic Shorthair,Mix,98102
Chester Chesebro,Dog,Basenji,NA,98118
Chief Rocky Bigpaws,Dog,"Retriever, Labrador",Boxer,98103
Winter Wampa (Winnie),Dog,Samoyed,NA,98105
"His Royal Highness, the Duke of Tacoma",Dog,"Terrier, American Staffordshire",Mix,98119
Schrödinger,Cat,Domestic Longhair,NA,98122
Artoo Dogtoo,Dog,Border Collie,NA,98199
Little Miss Dublin Maeve of the Emerald Isle,Dog,"Retriever, Labrador","Poodle, Standard",98107
Leeloo Blue Thunder Constanstine,Dog,Australian Cattle Dog,NA,98106
Mouse Major Tom,Cat,Domestic Shorthair,Domestic Shorthair,98122
The Reverend D. Peppercorn,Dog,Australian Shepherd,Mix,98199
Calvin Chicken Brooks,Dog,"Spaniel, Cavalier King Charles","Poodle, Miniature",98121
Señor Guapo,Dog,"Poodle, Miniature",Pomeranian,98125
Curious Snuggle Pippin Daquiz Babcock,Dog,Old English Sheepdog,"Poodle, Standard",98126
Figgy Pudding,Dog,Newfoundland,NA,98115
CHUCK NORRIS,Dog,Border Collie,NA,98104
Sophie Pawkins McCord,Dog,"Terrier, West Highland White",NA,98116
Sir Monkey Biscuit,Cat,Domestic Shorthair,NA,98107
Legends of Olde Sir Walter The Lady Killer,Dog,Olde English Bulldogge,NA,98103
Catamaran,Cat,Domestic Shorthair,NA,98109
Purr-Sephone,Cat,Domestic Shorthair,NA,98119
Siegfried von Steamkatzen,Cat,Domestic Shorthair,NA,98103
Muji Hopalong Pancake,Dog,Boxer,NA,98144
Felix Felicis the Invincible,Cat,Domestic Shorthair,NA,98102
Dr. Chewbarcca House,Dog,Shih Tzu,"Terrier, Yorkshire",98116
Polly Prissypants,Cat,Domestic Shorthair,Mix,98126
Obi-Wan-Kedobe,Dog,Doberman Pinscher,Mix,98199
Moose Donut Franswa Cuddlewuddle Post,Dog,"Bulldog, French","Terrier, Boston",98116
MaiTaiFlipFlopFishyPants,Cat,Domestic Shorthair,NA,98125
Pip & Squeak,Cat,Domestic Longhair,Mix,98107
Cocotaco,Dog,"Chihuahua, Short Coat",Mix,98136
SunUp Smitten By Magic,Dog,"Australian Shepherd, Miniature",NA,98115
Cat Benatar,Cat,American Shorthair,NA,98119
Squeak & Pip,Cat,Domestic Longhair,Mix,98107
Emmanual Meowcron,Cat,Domestic Medium Hair,NA,98107
Sweet Fancy Moses,Dog,Mix,NA,98103
Doctor Evil,Cat,Sphynx,NA,98109
Cat Stevens,Cat,Siamese,Mix,98102
Professor Nibblesworth,Goat,Miniature,NA,98118
Zuzu Petals Voortella,Dog,"Terrier, Rat",Basenji,98109
Gorgeou$,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98121
Danny D.O.GG,Dog,Pomeranian,Mix,98107
jasper crooknuzzler,Cat,Russian Blue,NA,98175
Chili Dog,Dog,"Chihuahua, Short Coat",NA,98125
Mr. Good Boy Porkchop,Dog,"Terrier, Jack Russell",Terrier,98107
Thunder Paws,Cat,Domestic Shorthair,NA,98144
King Kamehameha,Dog,Pomeranian,Mix,98117
Cat Damon,Cat,Domestic Shorthair,Mix,98119
Taco Belle Grande,Cat,Domestic Shorthair,NA,98109
Samuel L Catson,Cat,Domestic Medium Hair,NA,98112
Mr. Rainbow Worldwide,Dog,"Terrier, Boston",NA,98101
Lou Furingno,Cat,Domestic Shorthair,Mix,98107
Mountain Thunder Lunatic Fringe,Dog,Chinook,NA,98199
Malcontent the Unceasing,Cat,Domestic Shorthair,Mix,98102
Flash Gordon Savior of the Universe,Dog,Catahoula Leopard dog,Plott Hound,98118
Hello Kitty,Cat,Domestic Shorthair,Mix,98118
Catness Evermeow,Cat,Siamese,Mix,98118
